Threat ID,Threat Name,Domain Code,Domain Name,Init Actor Code,Init Actor Name,Mec 1 Code,Mec 1 Name,Mec 2 Code,Mec 2 Name,Mec 3 Code,Mec 3 Name,Intent Code,Intent Name,Vis Code,Vis Name,Sev Code,Sev Name,Original Description,Analyst Notes
TH-0001,Media Credibility Subversion,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-102,Disinformation,MEC-104,Narrative Manipulation,MEC-109,Influence Campaign,INT-02,Influence,VIS-02,Covert,SEV-1,Minimal,القای این موضوع که در رسانه‌های دولتی یک کشور اخبار جعلی و اطلاعات نادرست منتشر می‌شود و هدایت افراد به استفاده از یک رسانه دیگر,Inducing notion that state media publishes fake news.
TH-0002,Talent and Investor Poaching,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-109,Influence Campaign,MEC-305,Investment Influence,,,INT-10,Exploit,VIS-01,Overt,SEV-2,Low,جذب جوانان، استعدادها و سرمایه‌گذاران کشور هدف با ارائه امتیازات و مزایای مختلف برای کار در یک کشور,Attracting youth and investors via privileges.
TH-0003,Celebrity Co-optation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-109,Influence Campaign,MEC-104,Narrative Manipulation,,,INT-02,Influence,VIS-01,Overt,SEV-3,Moderate,درخواست رسانه‌های دولتی یک کشور از مجریان و خوانندگان کشور هدف برای شرکت در برنامه‌های تلویزیونی با هدف ایجاد توهم در مردم,Foreign media inviting domestic anchors/singers.
TH-0004,Crisis Mismanagement Disinformation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-102,Disinformation,MEC-104,Narrative Manipulation,MEC-405,Crisis Exploitation,INT-01,Destabilize,VIS-02,Covert,SEV-4,High,تضعیف اقدامات دولت و انتشار اخبار جعلی با هدف فریب مردم در مورد مدیریت بحران‌های مختلف مانند بحران کووید ۱۹,Undermining crisis management (e.g. COVID-19) via fake news.
TH-0005,Social Media Influencer Co-optation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-109,Influence Campaign,MEC-102,Disinformation,,,INT-02,Influence,VIS-03,Mixed,SEV-5,Severe,استفاده از افراد تأثیرگذار در رسانه‌های اجتماعی برای ارسال اطلاعات,Using influencers to disseminate specific info.
TH-0006,Educational Influence Program,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-109,Influence Campaign,MEC-603,Cultural Influence,,,INT-02,Influence,VIS-01,Overt,SEV-6,Critical,ارائه بورسیه‌های تحصیلی برای دانشجویان با هدف ایجاد علاقه و تمایل برای پذیرش نفوذ یک کشور؛ تلاش دشمن برای ایجاد ارتباط با افراد جوان و جوامع مردمی,Offering scholarships to students to build enemy networks.
TH-0007,Cognitive Sanctions Targeting,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-301,Economic Sanctions,MEC-105,Psychological Operations,,,INT-07,Intimidate,VIS-01,Overt,SEV-1,Minimal,تحریم افراد و تجار در جنگ شناختی,Sanctioning businessmen in cognitive warfare context.
TH-0008,Trusted Website Exploitation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-102,Disinformation,MEC-201,Cyber Intrusion,,,INT-05,Deceive,VIS-02,Covert,SEV-2,Low,استفاده از محتوا و اطلاعاتی خاص در وب‌سایت‌های محبوب و مورد اعتماد کاربران,Planting specific content on popular websites.
TH-0009,Minority Grievance Exploitation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-602,Identity Manipulation,MEC-109,Influence Campaign,,,INT-04,Divide,VIS-03,Mixed,SEV-3,Moderate,حمایت از اقلیت‌های بومی به منظور جذب آن‌ها,Supporting indigenous minorities to attract them.
TH-0010,Mass Disinformation Amplification,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-102,Disinformation,MEC-101,Propaganda,,,INT-02,Influence,VIS-03,Mixed,SEV-4,High,تحریک و تبلیغ مکرر ارائه اطلاعات با بیشترین وسعت و عمق ممکن؛ ارائه اطلاعات نادرست در رسانه‌های جمعی و انتشار دوباره آن‌ها در رسانه‌های آنلاین,Cross-platform info amplification and reposting.
