Mechanism Code,Mechanism Name,Description
MEC-101,Propaganda,"Systematic dissemination of biased or misleading information to promote a political cause."
MEC-102,Disinformation,"Deliberate creation and sharing of false information with the intent to deceive."
MEC-103,Misinformation,"Spreading false information without malicious intent, often through social sharing."
MEC-104,Narrative Manipulation,"Shaping public perception by framing events through a specific, biased viewpoint."
MEC-105,Psychological Operations,"Operations to convey selected information to audiences to influence their emotions, motives, and objective reasoning."
MEC-106,Deepfake Distribution,"Use of synthetic media to impersonate individuals and distribute fabricated footage."
MEC-107,Censorship,"Suppression of speech or public communication by restricting access to information."
MEC-108,Information Suppression,"Active measures to prevent specific information from reaching the public domain."
MEC-109,Influence Campaign,"A multi-faceted effort to sway the opinions or actions of a target population."
MEC-110,Rumor Propagation,"Spreading unverified information to create panic, confusion, or doubt."
MEC-111,Character Assassination,"Coordinated effort to damage the reputation of an individual or organization."
MEC-112,Demoralization,"Actions intended to weaken the confidence and morale of a target population."
MEC-113,Educational Co-optation,"Infiltrating or influencing academic and educational institutions to alter curricula or viewpoints."
MEC-201,Cyber Intrusion,"Unauthorized access to a computer network or system."
MEC-203,Data Exfiltration,"The unauthorized transfer of sensitive data from a system."
MEC-204,Denial of Service,"Overwhelming a system to render it inaccessible to legitimate users."
MEC-205,Credential Theft,"Stealing login credentials to gain unauthorized access to accounts or systems."
MEC-206,Supply Chain Compromise,"Injecting malicious code or hardware into an organization's supply chain."
MEC-207,Data Harvesting & Microtargeting,"Collecting vast amounts of data to target specific individuals with highly personalized content."
MEC-301,Economic Sanctions,"Restrictions on economic activity to influence the behavior of a state or entity."
MEC-302,Market Manipulation,"Intentional conduct designed to deceive investors by controlling or artificially affecting the price of securities."
MEC-303,Currency Manipulation,"Intervening in currency markets to gain an unfair trade advantage."
MEC-304,Resource Denial,"Restricting access to essential resources like water, energy, or raw materials."
MEC-305,Investment Influence,"Using capital or ownership stakes to dictate the strategic direction of foreign entities."
MEC-306,Trade Restriction,"Imposing tariffs, quotas, or bans to disrupt trade and influence economic policy."
MEC-307,Strategic Asset Acquisition,"Buying key infrastructure or critical technology companies to gain long-term leverage."
MEC-308,Subversion Funding,"Providing financial support to opposition groups or entities aimed at destabilizing a regime."
MEC-309,Policy Sabotage,"Systematic efforts to derail or prevent the implementation of specific governmental policies."
MEC-310,Illicit Trade & Smuggling,"Using illegal markets and shadow trade to bypass sanctions and fund destabilization activities."
MEC-401,Diplomatic Pressure,"Using diplomatic leverage to coerce a state into adopting favorable policy positions."
MEC-402,Election Interference,"Actions intended to influence the outcome of a democratic election."
MEC-403,Institutional Capture,"Gaining control over or undue influence upon government or regulatory institutions."
MEC-404,Legal Manipulation,"Exploiting judicial systems or regulatory loopholes to achieve political or economic objectives."
MEC-405,Crisis Exploitation,"Leveraging disasters, social unrest, or economic crises to further aggressive agendas."
MEC-406,International Forum Manipulation,"Subverting multinational organizations or forums to prevent consensus or block policies."
MEC-407,Border Provocation,"Aggressive military or paramilitary actions at borders to test resolve or create tension."
MEC-501,Kinetic Strike,"Direct physical attack using conventional weapons systems."
MEC-502,Sabotage,"Deliberate destruction or disruption of infrastructure and assets."
MEC-503,Espionage,"Covert collection of sensitive government, military, or industrial secrets."
MEC-504,Force Projection,"The capacity to deploy and sustain military forces in distant locations."
MEC-506,Undeclared Gray-Zone Action,"Low-level hostile activity that stops short of formal declared warfare."
MEC-507,Proxy Warfare Support,"Providing training, arms, or intelligence to surrogate forces to fight on one's behalf."
MEC-601,Social Polarization,"Exploiting social divisions to create internal strife and conflict."
MEC-602,Identity Manipulation,"Manufacturing or hijacking digital or social identities for deceptive purposes."
MEC-603,Cultural Influence,"Soft power initiatives to reshape the values and beliefs of a society."
MEC-604,Protest Mobilization,"Organizing or funding street-level protests to challenge institutional legitimacy."
MEC-605,Migration Pressure,"Using migration flows as a lever to put diplomatic or political pressure on a state."
MEC-606,Violence & Riot Incitement,"Directly or indirectly encouraging physical conflict and civil disorder."
MEC-607,Weaponized Migration,"Deliberately engineering migration crises to destabilize target nations."
MEC-608,Extremist Radicalization,"Promoting extremist ideologies to recruit individuals into violent movements."
MEC-609,Public Health Degradation,"Undermining public trust in health systems or spreading health-related confusion."
MEC-610,Separatist Incitement,"Encouraging ethnic or regional groups to seek secession or autonomy from a central government."
